dummy_case_field,ICD-9-CM Code,ICD-9-CM Code No Dec,ICD-9-CM Short Description,ICD-9-CM Long Description,AHRQ CCS Single Level Diagnosis Category Code,AHRQ CCS Single Level Diagnosis Category Name,Ursa Serial ID
,001.0,0010,Cholera d/t vib cholerae,Cholera due to vibrio cholerae,135,Intestinal infection,1
,001.1,0011,Cholera d/t vib el tor,Cholera due to vibrio cholerae el tor,135,Intestinal infection,2
,001.9,0019,Cholera NOS,"Cholera, unspecified",135,Intestinal infection,3
,002.0,0020,Typhoid fever,Typhoid fever,135,Intestinal infection,4
,002.1,0021,Paratyphoid fever a,Paratyphoid fever A,135,Intestinal infection,5
,002.2,0022,Paratyphoid fever b,Paratyphoid fever B,135,Intestinal infection,6
,002.3,0023,Paratyphoid fever c,Paratyphoid fever C,135,Intestinal infection,7
,002.9,0029,Paratyphoid fever NOS,"Paratyphoid fever, unspecified",135,Intestinal infection,8
,003.0,0030,Salmonella enteritis,Salmonella gastroenteritis,135,Intestinal infection,9
,003.1,0031,Salmonella septicemia,Salmonella septicemia,2,Septicemia (except in labor),10
,003.20,00320,Local salmonella inf NOS,"Localized salmonella infection, unspecified",135,Intestinal infection,11
,003.21,00321,Salmonella meningitis,Salmonella meningitis,76,Meningitis (except that caused by tuberculosis or sexually transmitted disease),12
,003.22,00322,Salmonella pneumonia,Salmonella pneumonia,122,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),13
,003.23,00323,Salmonella arthritis,Salmonella arthritis,201,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease),14
,003.24,00324,Salmonella osteomyelitis,Salmonella osteomyelitis,201,Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease),15
,003.29,00329,Local salmonella inf NEC,Other localized salmonella infections,135,Intestinal infection,16
,003.8,0038,Salmonella infection NEC,Other specified salmonella infections,135,Intestinal infection,17
,003.9,0039,Salmonella infection NOS,"Salmonella infection, unspecified",135,Intestinal infection,18
,004.0,0040,Shigella dysenteriae,Shigella dysenteriae,135,Intestinal infection,19
,004.1,0041,Shigella flexneri,Shigella flexneri,135,Intestinal infection,20
,004.2,0042,Shigella boydii,Shigella boydii,135,Intestinal infection,21
,004.3,0043,Shigella sonnei,Shigella sonnei,135,Intestinal infection,22
,004.8,0048,Shigella infection NEC,Other specified shigella infections,135,Intestinal infection,23
,004.9,0049,Shigellosis NOS,"Shigellosis, unspecified",135,Intestinal infection,24
,005.0,0050,Staph food poisoning,Staphylococcal food poisoning,135,Intestinal infection,25
,005.1,0051,Botulism food poisoning,Botulism food poisoning,135,Intestinal infection,26
,005.2,0052,Food pois d/t c. perfrin,Food poisoning due to Clostridium perfringens (C. welchii),135,Intestinal infection,27
,005.3,0053,Food pois: clostrid NEC,Food poisoning due to other Clostridia,135,Intestinal infection,28
,005.4,0054,Food pois: v. parahaem,Food poisoning due to Vibrio parahaemolyticus,135,Intestinal infection,29
,005.81,00581,Food poisn d/t v. vulnif,Food poisoning due to Vibrio vulnificus,135,Intestinal infection,30
,005.89,00589,Bact food poisoning NEC,Other bacterial food poisoning,135,Intestinal infection,31
,005.9,0059,Food poisoning NOS,"Food poisoning, unspecified",135,Intestinal infection,32
,006.0,0060,Ac amebiasis w/o abscess,Acute amebic dysentery without mention of abscess,135,Intestinal infection,33
,006.1,0061,Chr amebiasis w/o absces,Chronic intestinal amebiasis without mention of abscess,135,Intestinal infection,34
,006.2,0062,Amebic nondysent colitis,Amebic nondysenteric colitis,135,Intestinal infection,35
,006.3,0063,Amebic liver abscess,Amebic liver abscess,135,Intestinal infection,36
,006.4,0064,Amebic lung abscess,Amebic lung abscess,135,Intestinal infection,37
,006.5,0065,Amebic brain abscess,Amebic brain abscess,135,Intestinal infection,38
,006.6,0066,Amebic skin ulceration,Amebic skin ulceration,135,Intestinal infection,39
,006.8,0068,Amebic infection NEC,Amebic infection of other sites,135,Intestinal infection,40
,006.9,0069,Amebiasis NOS,"Amebiasis, unspecified",135,Intestinal infection,41
,007.0,0070,Balantidiasis,Balantidiasis,135,Intestinal infection,42
,007.1,0071,Giardiasis,Giardiasis,135,Intestinal infection,43
,007.2,0072,Coccidiosis,Coccidiosis,135,Intestinal infection,44
,007.3,0073,Intest trichomoniasis,Intestinal trichomoniasis,135,Intestinal infection,45
,007.4,0074,Cryptosporidiosis,Cryptosporidiosis,135,Intestinal infection,46
,007.5,0075,Cyclosporiasis,Cyclosporiasis,135,Intestinal infection,47
,007.8,0078,Protozoal intest dis NEC,Other specified protozoal intestinal diseases,135,Intestinal infection,48
,007.9,0079,Protozoal intest dis NOS,Unspecified protozoal intestinal disease,135,Intestinal infection,49
,008.00,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified",135,Intestinal infection,50
,008.01,00801,Int inf e coli entrpath,Intestinal infection due to enteropathogenic E. coli,135,Intestinal infection,51
,008.02,00802,Int inf e coli entrtoxgn,Intestinal infection due to enterotoxigenic E. coli,135,Intestinal infection,52
,008.03,00803,Int inf e coli entrnvsv,Intestinal infection due to enteroinvasive E. coli,135,Intestinal infection,53
,008.04,00804,Int inf e coli entrhmrg,Intestinal infection due to enterohemorrhagic E. coli,135,Intestinal infection,54
,008.09,00809,Int inf e coli spcf NEC,Intestinal infection due to other intestinal E. coli infections,135,Intestinal infection,55
,008.1,0081,Arizona enteritis,Intestinal infection due to arizona group of paracolon bacilli,135,Intestinal infection,56
,008.2,0082,Aerobacter enteritis,Intestinal infection due to aerobacter aerogenes,135,Intestinal infection,57
,008.3,0083,Proteus enteritis,Intestinal infection due to proteus (mirabilis) (morganii),135,Intestinal infection,58
,008.41,00841,Staphylococc enteritis,Intestinal infection due to staphylococcus,135,Intestinal infection,59
